timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
816117158,0.120961,-0.154222,0.508375
816139602,0.120961,-0.154222,0.502128
816162660,0.120961,-0.154222,0.508375
816183597,0.114986,-0.154222,0.505252
816205083,0.111999,-0.154222,0.508375
816225651,0.114986,-0.154222,0.502128
816248992,0.111999,-0.154222,0.508375
816273065,0.111999,-0.154222,0.508375
816297151,0.111999,-0.157192,0.505252
816321159,0.111999,-0.154222,0.505252
816345064,0.111999,-0.154222,0.505252
816369083,0.114986,-0.154222,0.502128
816390717,0.111999,-0.154222,0.502128
816413636,0.117974,-0.154222,0.502128
816433595,0.117974,-0.154222,0.502128
816455594,0.117974,-0.157192,0.505252
816475595,0.120961,-0.157192,0.502128
816495594,0.120961,-0.157192,0.505252
816518116,0.120961,-0.154222,0.502128
816539594,0.123949,-0.157192,0.502128
816561149,0.120961,-0.157192,0.505252
816583600,0.120961,-0.157192,0.505252
816603594,0.120961,-0.157192,0.499004
816624458,0.117974,-0.157192,0.505252
816646806,0.117974,-0.157192,0.505252
816670705,0.114986,-0.160163,0.505252
816691205,0.114986,-0.160163,0.499004
816714107,0.114986,-0.160163,0.502128
816736712,0.114986,-0.160163,0.505252
816759600,0.111999,-0.160163,0.508375
816782733,0.111999,-0.160163,0.508375
816804659,0.109011,-0.160163,0.508375
816826666,0.109011,-0.157192,0.505252
816847608,0.106024,-0.157192,0.511499
816870661,0.109011,-0.157192,0.508375
816892661,0.106024,-0.157192,0.505252
816915608,0.106024,-0.157192,0.505252
816938116,0.109011,-0.160163,0.505252
816962117,0.106024,-0.160163,0.505252
816984655,0.106024,-0.160163,0.505252
817006432,0.109011,-0.160163,0.505252
817027603,0.109011,-0.163133,0.505252
817048654,0.109011,-0.163133,0.505252
817070708,0.111999,-0.163133,0.508375
817091659,0.109011,-0.163133,0.502128
817114660,0.111999,-0.163133,0.502128
817135618,0.111999,-0.163133,0.505252
817157611,0.111999,-0.163133,0.508375
817180732,0.111999,-0.160163,0.502128
817203598,0.109011,-0.160163,0.505252
817225600,0.111999,-0.160163,0.505252
817248733,0.109011,-0.160163,0.502128
817271637,0.109011,-0.160163,0.505252
817295494,0.106024,-0.157192,0.508375
817316787,0.103036,-0.157192,0.505252
817339594,0.109011,-0.157192,0.502128
817359594,0.106024,-0.157192,0.505252
817380722,0.103036,-0.157192,0.502128
817402900,0.103036,-0.160163,0.505252
817426904,0.103036,-0.157192,0.508375
817448720,0.103036,-0.157192,0.505252
817471598,0.103036,-0.160163,0.505252
817495269,0.103036,-0.157192,0.508375
817516732,0.106024,-0.157192,0.505252
817538880,0.106024,-0.160163,0.505252
817561594,0.106024,-0.157192,0.505252
817582654,0.106024,-0.160163,0.502128
817604773,0.106024,-0.160163,0.502128
817627747,0.109011,-0.160163,0.505252
817651737,0.109011,-0.157192,0.499004
817675690,0.111999,-0.160163,0.505252
817699699,0.114986,-0.157192,0.505252
817723683,0.117974,-0.160163,0.508375
817746654,0.114986,-0.160163,0.505252
817768742,0.120961,-0.160163,0.511499
817789656,0.117974,-0.160163,0.502128
817810715,0.120961,-0.160163,0.502128
817832398,0.117974,-0.160163,0.505252
817854655,0.120961,-0.160163,0.505252
817876745,0.120961,-0.160163,0.505252
817898669,0.120961,-0.160163,0.502128
817920737,0.120961,-0.160163,0.505252
817941600,0.120961,-0.157192,0.505252
817963733,0.120961,-0.160163,0.505252
817987707,0.117974,-0.157192,0.499004
818011702,0.120961,-0.157192,0.499004
818035696,0.117974,-0.157192,0.505252
818056767,0.117974,-0.160163,0.499004
818080041,0.117974,-0.160163,0.505252
818102662,0.117974,-0.160163,0.511499
818124854,0.117974,-0.160163,0.505252
818147611,0.117974,-0.163133,0.505252
818170654,0.117974,-0.163133,0.505252
818191594,0.117974,-0.163133,0.505252
818212873,0.117974,-0.166104,0.502128
818234666,0.117974,-0.166104,0.502128
818255602,0.120961,-0.166104,0.505252
818279594,0.120961,-0.166104,0.502128
818301654,0.123949,-0.169074,0.505252
818322706,0.123949,-0.169074,0.505252
818343645,0.123949,-0.166104,0.505252
818365138,0.129924,-0.166104,0.502128
818385651,0.129924,-0.166104,0.502128
818406725,0.126937,-0.166104,0.502128
818427652,0.126937,-0.163133,0.505252
818450674,0.126937,-0.163133,0.502128
818472745,0.123949,-0.160163,0.502128
818495600,0.123949,-0.163133,0.502128
818517978,0.126937,-0.163133,0.502128
818538661,0.126937,-0.163133,0.502128
818559610,0.126937,-0.163133,0.505252
