timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
813387796,32767,32767,32767,32767,-62,-72,32767
813391796,32767,32767,32767,32767,32767,32767,32767
813395800,32767,32767,32767,32767,32767,32767,32767
813399796,32767,32767,32767,32767,-68,32767,32767
813403798,32767,32767,-61,32767,32767,32767,32767
813407797,32767,32767,32767,32767,32767,-54,32767
813411796,32767,32767,32767,32767,32767,32767,32767
813415802,32767,32767,32767,32767,32767,32767,32767
813419796,32767,32767,32767,32767,-64,32767,32767
813423797,32767,32767,32767,32767,32767,32767,32767
813427796,32767,32767,32767,32767,32767,32767,32767
813431799,32767,32767,32767,32767,-60,-69,32767
813435807,32767,32767,32767,32767,32767,32767,32767
813439796,32767,32767,32767,32767,32767,32767,32767
813443796,32767,32767,32767,32767,-68,32767,32767
813447796,32767,32767,32767,32767,32767,32767,32767
813451797,32767,32767,32767,32767,32767,-52,32767
813455812,32767,32767,32767,32767,32767,32767,32767
813459796,32767,32767,32767,32767,32767,32767,32767
813463797,32767,32767,32767,32767,-62,32767,32767
813467797,32767,32767,32767,32767,32767,32767,32767
813471796,32767,32767,32767,32767,32767,32767,32767
813475809,32767,32767,32767,32767,-73,-83,32767
813479796,32767,32767,32767,32767,32767,32767,32767
813483796,32767,32767,32767,32767,-54,32767,32767
813487797,32767,32767,32767,32767,32767,32767,32767
813491796,32767,32767,32767,32767,32767,32767,32767
813495799,32767,32767,32767,32767,32767,-69,32767
813499796,32767,32767,32767,32767,32767,32767,32767
813503796,32767,32767,32767,32767,32767,32767,32767
813507796,32767,32767,32767,32767,-66,32767,32767
813511796,32767,32767,32767,32767,32767,32767,32767
813515796,32767,32767,32767,32767,32767,32767,32767
813519797,32767,32767,32767,32767,-68,-81,32767
813523796,32767,32767,32767,32767,32767,32767,32767
813527796,32767,32767,32767,32767,-48,32767,32767
813531796,32767,32767,32767,32767,32767,32767,32767
813535820,32767,32767,32767,32767,32767,32767,32767
813539796,32767,32767,32767,32767,32767,-61,32767
813543796,32767,32767,32767,32767,32767,32767,32767
813547796,32767,32767,32767,32767,32767,32767,32767
813551796,32767,32767,32767,32767,-66,32767,32767
813555822,32767,32767,32767,32767,32767,32767,32767
813559796,32767,32767,32767,32767,-42,-51,32767
813563796,32767,32767,32767,32767,32767,32767,32767
813567796,32767,32767,32767,32767,32767,32767,32767
813571796,32767,32767,32767,32767,-58,32767,32767
813575812,32767,32767,32767,32767,32767,32767,32767
813579796,32767,32767,32767,32767,32767,32767,32767
813583796,32767,32767,32767,32767,32767,-69,32767
813587796,32767,32767,32767,32767,32767,32767,32767
813591796,32767,32767,32767,32767,32767,32767,32767
813595831,32767,32767,32767,32767,-73,32767,32767
813599797,32767,32767,32767,32767,32767,32767,32767
813603796,32767,32767,32767,32767,-42,-60,32767
813607796,32767,32767,-61,32767,32767,32767,32767
813611796,32767,32767,32767,32767,32767,32767,32767
813615831,32767,32767,32767,32767,-60,32767,32767
813619796,32767,32767,32767,32767,32767,32767,32767
813623796,32767,32767,32767,32767,32767,32767,32767
813627796,32767,32767,32767,32767,32767,-70,32767
813632611,32767,32767,32767,32767,32767,32767,32767
813636596,32767,32767,32767,32767,32767,32767,32767
813640596,32767,32767,32767,32767,-66,32767,32767
813644597,32767,32767,32767,32767,32767,32767,32767
813648603,32767,32767,32767,32767,-36,-50,32767
813652596,32767,32767,32767,32767,32767,32767,32767
813656599,32767,32767,32767,32767,32767,32767,32767
813660597,32767,32767,32767,32767,-45,32767,32767
813664596,32767,32767,32767,32767,32767,32767,32767
813668611,32767,32767,32767,32767,32767,32767,32767
813672604,32767,32767,32767,32767,32767,-60,32767
813676600,32767,32767,32767,32767,32767,32767,32767
813680598,32767,32767,32767,32767,32767,32767,32767
813684596,32767,32767,32767,32767,-72,32767,32767
813688596,32767,32767,32767,32767,32767,32767,32767
813692598,32767,32767,32767,32767,-50,-59,32767
813696596,32767,32767,32767,32767,32767,32767,32767
813700603,32767,32767,32767,32767,32767,32767,32767
813704597,32767,32767,32767,32767,-66,32767,32767
813708605,32767,32767,32767,32767,32767,32767,32767
813712596,32767,32767,32767,32767,32767,-49,32767
813716596,32767,32767,32767,32767,32767,32767,32767
813720596,32767,32767,32767,32767,32767,32767,32767
813724597,32767,32767,32767,32767,-46,32767,32767
813728596,32767,32767,32767,32767,32767,32767,32767
813732596,32767,32767,32767,32767,32767,32767,32767
813736596,32767,32767,32767,32767,-59,-68,32767
813740597,32767,32767,32767,32767,32767,32767,32767
813744606,32767,32767,32767,32767,32767,32767,32767
813748597,32767,32767,32767,32767,-70,32767,32767
813752596,32767,32767,32767,32767,32767,32767,32767
813756604,32767,32767,32767,32767,32767,-50,32767
813760611,32767,32767,32767,32767,32767,32767,32767
813764597,32767,32767,32767,32767,32767,32767,32767
813768596,32767,32767,32767,32767,-65,32767,32767
813772597,32767,32767,32767,32767,32767,32767,32767
813776597,32767,32767,32767,32767,32767,32767,32767
813780601,32767,32767,32767,32767,-71,-82,32767
813784597,32767,32767,32767,32767,32767,32767,32767
813788596,32767,32767,32767,32767,-34,32767,32767
813792607,32767,32767,32767,32767,32767,32767,32767
813796596,32767,32767,32767,32767,32767,32767,32767
813800596,32767,32767,32767,32767,32767,-64,32767
813804604,32767,32767,32767,32767,32767,32767,32767
813808596,32767,32767,-98,32767,32767,32767,32767
813812596,32767,32767,32767,32767,-67,32767,32767
813816613,32767,32767,32767,32767,32767,32767,32767
813820597,32767,32767,32767,32767,32767,32767,32767
813824597,32767,32767,32767,32767,-66,-75,32767
813828602,32767,32767,32767,32767,32767,32767,32767
813832596,32767,32767,32767,32767,-46,32767,32767
813836597,32767,32767,32767,32767,32767,32767,32767
813840599,32767,32767,32767,32767,32767,32767,32767
813844596,32767,32767,32767,32767,32767,-66,32767
813848597,32767,32767,32767,32767,32767,32767,32767
813852596,32767,32767,32767,32767,32767,32767,32767
813856598,32767,32767,32767,32767,-65,32767,32767
813860597,32767,32767,32767,32767,32767,32767,32767
813864597,32767,32767,32767,32767,32767,32767,32767
813868596,32767,32767,32767,32767,-54,-65,32767
813872598,32767,32767,32767,32767,32767,32767,32767
813876597,32767,32767,32767,32767,32767,32767,32767
813880597,32767,32767,32767,32767,-62,32767,32767
813884600,32767,32767,32767,32767,32767,32767,32767
813888596,32767,32767,32767,32767,32767,32767,32767
813892600,32767,32767,32767,32767,32767,-76,32767
813896604,32767,32767,32767,32767,32767,32767,32767
813900596,32767,32767,32767,32767,32767,32767,32767
813904597,32767,32767,32767,32767,-64,32767,32767
813908610,32767,32767,32767,32767,32767,32767,32767
813912596,32767,32767,32767,32767,32767,32767,32767
813916598,32767,32767,32767,32767,-65,-74,32767
813920613,32767,32767,32767,32767,32767,32767,32767
813924597,32767,32767,32767,32767,32767,32767,32767
813928600,32767,32767,32767,32767,-65,32767,32767
813932618,32767,32767,32767,32767,32767,32767,32767
813936596,32767,32767,32767,32767,32767,32767,32767
813940598,32767,32767,32767,32767,32767,-75,32767
813944613,32767,32767,32767,32767,32767,32767,32767
813948596,32767,32767,32767,32767,32767,32767,32767
813952596,32767,32767,32767,32767,-66,32767,32767
813956616,32767,32767,32767,32767,32767,32767,32767
813960598,32767,32767,32767,32767,32767,32767,32767
813964596,32767,32767,32767,32767,-66,-75,32767
813968613,32767,32767,32767,32767,32767,32767,32767
813972597,32767,32767,32767,32767,32767,32767,32767
813976596,32767,32767,32767,32767,-68,32767,32767
813980616,32767,32767,32767,32767,32767,32767,32767
813984596,32767,32767,32767,32767,32767,32767,32767
813988596,32767,32767,32767,32767,32767,-74,32767
813992612,32767,32767,32767,32767,32767,32767,32767
813996596,32767,32767,32767,32767,32767,32767,32767
814000596,32767,32767,-97,32767,-68,32767,32767
814004613,32767,32767,32767,32767,32767,32767,32767
814008596,32767,32767,32767,32767,32767,32767,32767
814012596,32767,32767,32767,32767,-66,-75,32767
814016604,32767,32767,32767,32767,32767,32767,32767
814020597,32767,32767,32767,32767,32767,32767,32767
814024596,32767,32767,32767,32767,-66,32767,32767
814028604,32767,32767,32767,32767,32767,32767,32767
814032596,32767,32767,32767,32767,32767,32767,32767
814036600,32767,32767,32767,32767,32767,-76,32767
814040596,32767,32767,32767,32767,32767,32767,32767
814044598,32767,32767,32767,32767,-46,32767,32767
814048601,32767,32767,32767,32767,32767,32767,32767
814052598,32767,32767,32767,32767,32767,32767,32767
814056598,32767,32767,32767,32767,-50,-59,32767
814060598,32767,32767,32767,32767,32767,32767,32767
814064596,32767,32767,32767,32767,32767,32767,32767
814068596,32767,32767,32767,32767,-66,32767,32767
814072597,32767,32767,32767,32767,32767,32767,32767
814076598,32767,32767,32767,32767,32767,-49,32767
814080596,32767,32767,32767,32767,32767,32767,32767
814084603,32767,32767,32767,32767,32767,32767,32767
814088596,32767,32767,32767,32767,-62,32767,32767
814092603,32767,32767,32767,32767,32767,32767,32767
814096596,32767,32767,32767,32767,32767,32767,32767
814100598,32767,32767,32767,32767,-65,-74,32767
814104598,32767,32767,32767,32767,32767,32767,32767
814108603,32767,32767,32767,32767,-47,32767,32767
814112596,32767,32767,32767,32767,32767,32767,32767
814116611,32767,32767,32767,32767,32767,32767,32767
814120596,32767,32767,32767,32767,32767,-69,32767
814124597,32767,32767,32767,32767,32767,32767,32767
814128597,32767,32767,32767,32767,32767,32767,32767
814132596,32767,32767,32767,32767,-70,32767,32767
814136596,32767,32767,32767,32767,32767,32767,32767
814140598,32767,32767,32767,32767,-50,-58,32767
814144596,32767,32767,32767,32767,32767,32767,32767
814148598,32767,32767,32767,32767,32767,32767,32767
814152598,32767,32767,32767,32767,-66,32767,32767
814156597,32767,32767,32767,32767,32767,32767,32767
814160611,32767,32767,32767,32767,32767,-50,32767
814164596,32767,32767,32767,32767,32767,32767,32767
814168598,32767,32767,32767,32767,32767,32767,32767
814172614,32767,32767,32767,32767,-57,32767,32767
814176596,32767,32767,32767,32767,32767,32767,32767
814180596,32767,32767,32767,32767,32767,32767,32767
814184597,32767,32767,32767,32767,-54,-65,32767
814188597,32767,32767,32767,32767,32767,32767,32767
814192605,32767,32767,32767,32767,32767,32767,32767
814196597,32767,32767,32767,32767,-66,32767,32767
814200596,32767,32767,32767,32767,32767,32767,32767
814205400,32767,32767,-58,32767,32767,-58,32767
814209396,32767,32767,32767,32767,32767,32767,32767
814213396,32767,32767,32767,32767,32767,32767,32767
814217396,32767,32767,32767,32767,-62,32767,32767
814221396,32767,32767,32767,32767,32767,32767,32767
814225397,32767,32767,32767,32767,32767,32767,32767
814229396,32767,32767,32767,32767,-69,-87,32767
814233396,32767,32767,32767,32767,32767,32767,32767
814237396,32767,32767,32767,32767,-44,32767,32767
814241396,32767,32767,32767,32767,32767,32767,32767
814245396,32767,32767,32767,32767,32767,32767,32767
814249396,32767,32767,32767,32767,32767,-58,32767
814253396,32767,32767,32767,32767,32767,32767,32767
814257396,32767,32767,32767,32767,32767,32767,32767
814261398,32767,32767,32767,32767,-66,32767,32767
814265397,32767,32767,32767,32767,32767,32767,32767
814269396,32767,32767,32767,32767,32767,32767,32767
814273396,32767,32767,32767,32767,-62,-72,32767
814277396,32767,32767,32767,32767,32767,32767,32767
814281396,32767,32767,32767,32767,32767,32767,32767
814285396,32767,32767,32767,32767,-65,32767,32767
814289397,32767,32767,32767,32767,32767,32767,32767
814293396,32767,32767,32767,32767,32767,32767,32767
814297396,32767,32767,32767,32767,32767,-73,32767
814301396,32767,32767,32767,32767,32767,32767,32767
814305402,32767,32767,32767,32767,32767,32767,32767
814309396,32767,32767,32767,32767,-66,32767,32767
814313396,32767,32767,32767,32767,32767,32767,32767
814317396,32767,32767,32767,32767,32767,32767,32767
814321397,32767,32767,32767,32767,-62,-72,32767
814325396,32767,32767,32767,32767,32767,32767,32767
814329396,32767,32767,32767,32767,32767,32767,32767
814333396,32767,32767,32767,32767,-66,32767,32767
814337396,32767,32767,32767,32767,32767,32767,32767
814341396,32767,32767,32767,32767,32767,32767,32767
814345397,32767,32767,32767,32767,32767,-73,32767
814349396,32767,32767,32767,32767,32767,32767,32767
814353396,32767,32767,32767,32767,-44,32767,32767
814357396,32767,32767,32767,32767,32767,32767,32767
814361396,32767,32767,32767,32767,32767,32767,32767
814365396,32767,32767,32767,32767,-58,-67,32767
814369396,32767,32767,32767,32767,32767,32767,32767
814373396,32767,32767,32767,32767,32767,32767,32767
814377396,32767,32767,32767,32767,-68,32767,32767
814381396,32767,32767,32767,32767,32767,32767,32767
814385396,32767,32767,32767,32767,32767,-57,32767
814389396,32767,32767,32767,32767,32767,32767,32767
814393396,32767,32767,32767,32767,32767,32767,32767
814397396,32767,32767,32767,32767,-60,32767,32767
814401398,32767,32767,-47,32767,32767,32767,32767
814405396,32767,32767,32767,32767,32767,32767,32767
814409396,32767,32767,32767,32767,-72,-87,32767
814413397,32767,32767,32767,32767,32767,32767,32767
814417396,32767,32767,32767,32767,-43,32767,32767
