timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
2430345753,-0.140385,-0.182596,-0.0365753,0.0,0.9931,-0.0714942,-0.0896545,-0.0245588,0.480714,-1.0,1,0,0,0,0,0,0
2430445432,-0.118486,-0.218328,-0.0364478,0.0,0.992021,-0.060828,-0.107666,-0.0245322,0.48198,-1.0,1,0,0,0,0,0,0
2430545474,-0.118503,-0.201362,-0.0374635,0.0,0.992904,-0.060786,-0.0992135,-0.024554,0.481671,-1.0,1,0,0,0,0,0,0
2430645158,-0.120284,-0.166081,-0.0394254,0.0,0.994461,-0.0615188,-0.0815983,-0.0245925,0.479436,-1.0,1,0,0,0,0,0,0
2430749950,-0.0715109,-0.129368,-0.0448148,0.0,0.996969,-0.0371114,-0.0637819,-0.0246545,0.479268,-1.0,1,0,0,0,0,0,0
2430850245,-0.0337274,-0.0818564,-0.0480675,0.0,0.998715,-0.0178271,-0.0404943,-0.0246977,0.466403,-1.0,1,0,0,0,0,0,0
2430954359,-0.0299302,-0.0227019,-0.0491091,0.0,0.999518,-0.0152377,-0.0109786,-0.0247175,0.46628,-1.0,1,0,0,0,0,0,0
2431054205,-0.00616624,-0.0224087,-0.0493798,0.0,0.999627,-0.00335858,-0.0111245,-0.0247202,0.466266,-1.0,1,0,0,0,0,0,0
2431154221,-0.00010386,-0.0224061,-0.0494477,0.0,0.999632,-0.000328859,-0.0111981,-0.0247204,0.466265,-1.0,1,0,0,0,0,0,0
2431258737,1.83703e-06,-0.0224035,-0.0494489,0.0,0.999632,-0.000276005,-0.0111981,-0.0247204,0.466265,-1.0,1,0,0,0,0,0,0
2431357931,6.10213e-08,-0.0240096,-0.0494488,0.0,0.999622,-0.000296744,-0.0120008,-0.0247201,0.466265,-1.0,1,0,0,0,0,0,0
2431458449,1.00716e-09,-0.0238955,-0.0494488,0.0,0.999623,-0.000295364,-0.0119438,-0.0247201,0.45648,-1.0,1,0,0,0,0,0,0
2431562598,-0.00709719,-0.0238967,-0.049364,0.0,0.999617,-0.00384212,-0.0118568,-0.02472,0.445915,-1.0,1,0,0,0,0,0,0
2431662144,-0.0104739,-0.0219818,-0.0493337,0.0,0.99962,-0.00550607,-0.010858,-0.0247201,0.447079,-1.0,1,0,0,0,0,0,0
2431766143,-0.00904888,-0.00147012,-0.0494422,0.0,0.999684,-0.00454121,-0.000622991,-0.0247216,0.447236,-1.0,1,0,0,0,0,0,0
2431866738,-0.00695239,0.0168719,-0.0495075,0.0,0.999653,-0.0032662,0.00851927,-0.0247209,0.452213,-1.0,1,0,0,0,0,0,0
2431965961,-0.0153237,0.0260611,-0.0496485,0.0,0.99958,-0.00733532,0.0132159,-0.0247191,0.484727,-1.0,1,0,0,0,0,0,0
2432070279,-0.029638,0.0279091,-0.0498625,0.0,0.999487,-0.0144646,0.0143176,-0.0247168,0.489004,-1.0,1,0,0,0,0,0,0
2432170413,-0.0295784,0.022098,-0.0497757,0.0,0.999524,-0.0145083,0.0114121,-0.0247177,0.487612,-1.0,1,0,0,0,0,0,0
2432274423,-0.029585,0.0186234,-0.0497244,0.0,0.999542,-0.0145553,0.00967538,-0.0247181,0.488261,-1.0,1,0,0,0,0,0,0
2432378374,-0.0295842,0.0152726,-0.0496748,0.0,0.999556,-0.0145969,0.00800037,-0.0247185,0.518949,-1.0,1,0,0,0,0,0,0
2432477947,-0.0295819,0.00139447,-0.0494695,0.0,0.999585,-0.0147686,0.00106274,-0.0247192,0.525203,-1.0,1,0,0,0,0,0,0
2432578593,-0.0295818,4.51081e-05,-0.0494495,0.0,0.999585,-0.0147853,0.000388196,-0.0247192,0.525304,-1.0,1,0,0,0,0,0,0
2432682196,-0.0295819,8.76546e-07,-0.0494489,0.0,0.999585,-0.0147859,0.000366085,-0.0247192,0.52653,-1.0,1,0,0,0,0,0,0
2432781973,-0.029583,-0.0108871,-0.0492878,0.0,0.99957,-0.0149204,-0.0050768,-0.0247188,0.533856,-1.0,1,0,0,0,0,0,0
2432886096,-0.0295833,-0.0119283,-0.0492724,0.0,0.999567,-0.0149332,-0.00559729,-0.0247188,0.566828,-1.0,1,0,0,0,0,0,0
2432986450,-0.0295833,-0.011947,-0.0492721,0.0,0.999567,-0.0149335,-0.00560665,-0.0247188,0.566273,-1.0,1,0,0,0,0,0,0
2433085924,-0.0295844,-0.0161145,-0.0492105,0.0,0.999553,-0.0149849,-0.00768995,-0.0247184,0.566265,-1.0,1,0,0,0,0,0,0
2433189988,-0.0295885,-0.0259807,-0.0490644,0.0,0.999501,-0.0151066,-0.0126218,-0.0247171,0.566265,-1.0,1,0,0,0,0,0,0
2433290555,-0.0295896,-0.0279429,-0.0490354,0.0,0.999487,-0.0151308,-0.0136026,-0.0247168,0.566514,-1.0,1,0,0,0,0,0,0
2433394437,-0.02959,-0.0286727,-0.0490246,0.0,0.999482,-0.0151398,-0.0139674,-0.0247167,0.565784,-1.0,1,0,0,0,0,0,0
2433498539,-0.0279905,-0.0315122,-0.0490078,0.0,0.999472,-0.0143749,-0.0154063,-0.0247164,0.561083,-1.0,1,0,0,0,0,0,0
2433598209,-0.031153,-0.0350108,-0.0489034,0.0,0.99942,-0.0159968,-0.0171164,-0.0247151,0.556487,-1.0,1,0,0,0,0,0,0
2433698300,-0.0310795,-0.0404402,-0.0488203,0.0,0.999369,-0.0160247,-0.0198311,-0.0247139,0.531229,-1.0,1,0,0,0,0,0,0
2433802419,-0.0310769,-0.0392818,-0.0488383,0.0,0.999381,-0.0160097,-0.0192521,-0.0247142,0.516649,-1.0,1,0,0,0,0,0,0
2433901938,-0.0310757,-0.0377967,-0.0488615,0.0,0.999395,-0.0159914,-0.0185098,-0.0247145,0.518117,-1.0,1,0,0,0,0,0,0
2434006082,-0.0317966,-0.0332586,-0.04892,0.0,0.99943,-0.0162973,-0.0162327,-0.0247154,0.525949,-1.0,1,0,0,0,0,0,0
2434106422,-0.0323177,-0.0328611,-0.0489178,0.0,0.999429,-0.0165529,-0.0160276,-0.0247153,0.542323,-1.0,1,0,0,0,0,0,0
2434205920,-0.0325913,-0.0312948,-0.0489388,0.0,0.999439,-0.0166708,-0.0152414,-0.0247156,0.561276,-1.0,1,0,0,0,0,0,0
2434309914,-0.0325513,-0.031369,-0.0489382,0.0,0.999439,-0.0166517,-0.015279,-0.0247156,0.561456,-1.0,1,0,0,0,0,0,0
2434410645,-0.0325507,-0.0313593,-0.0489384,0.0,0.999439,-0.0166513,-0.0152741,-0.0247156,0.561197,-1.0,1,0,0,0,0,0,0
2434510112,-0.0310074,-0.0313597,-0.0489626,0.0,0.999451,-0.0158803,-0.0152932,-0.0247159,0.558961,-1.0,1,0,0,0,0,0,0
2434614238,-0.0310725,-0.0313597,-0.0489616,0.0,0.999451,-0.0159128,-0.0152924,-0.0247159,0.559037,-1.0,1,0,0,0,0,0,0
2434714229,-0.0310713,-0.0313597,-0.0489616,0.0,0.999451,-0.0159122,-0.0152924,-0.0247159,0.559036,-1.0,1,0,0,0,0,0,0
2434818370,-0.029479,-0.0297542,-0.0490102,0.0,0.999475,-0.0150974,-0.0145094,-0.0247165,0.559875,-1.0,1,0,0,0,0,0,0
2434917976,-0.0295921,-0.0298682,-0.0490068,0.0,0.999474,-0.0151553,-0.014565,-0.0247164,0.561527,-1.0,1,0,0,0,0,0,0
2435018212,-0.0295898,-0.0282609,-0.0490307,0.0,0.999485,-0.0151348,-0.0137616,-0.0247167,0.566095,-1.0,1,0,0,0,0,0,0
2435122553,-0.0295898,-0.0283749,-0.049029,0.0,0.999484,-0.0151361,-0.0138186,-0.0247167,0.564982,-1.0,1,0,0,0,0,0,0
2435223058,-0.0295898,-0.0283735,-0.049029,0.0,0.999484,-0.0151361,-0.0138179,-0.0247167,0.571355,-1.0,1,0,0,0,0,0,0
2435322785,-0.0295898,-0.0283735,-0.049029,0.0,0.999484,-0.0151361,-0.0138178,-0.0247167,0.570812,-1.0,1,0,0,0,0,0,0
2435426935,-0.0238824,-0.0280664,-0.0491137,0.0,0.999525,-0.0122807,-0.0137343,-0.0247177,0.510547,-1.0,1,0,0,0,0,0,0
2435527102,-0.0255529,-0.0284581,-0.0490852,0.0,0.999512,-0.0131201,-0.0139096,-0.0247174,0.486237,-1.0,1,0,0,0,0,0,0
2435626978,-0.0251095,-0.0268175,-0.0491121,0.0,0.999526,-0.0128787,-0.013095,-0.0247177,0.491677,-1.0,1,0,0,0,0,0,0
2435730959,-0.0251505,-0.0284051,-0.0490916,0.0,0.999514,-0.0129184,-0.0138881,-0.0247175,0.492756,-1.0,1,0,0,0,0,0,0
2435831040,-0.0225303,-0.0280683,-0.0491326,0.0,0.999533,-0.0116051,-0.0137519,-0.0247179,0.492765,-1.0,1,0,0,0,0,0,0
2435935502,-0.0247734,-0.0277193,-0.0491055,0.0,0.999522,-0.0127217,-0.0135499,-0.0247176,0.501717,-1.0,1,0,0,0,0,0,0
2436035120,-0.0277031,-0.0278371,-0.0490632,0.0,0.999502,-0.0141869,-0.0135729,-0.0247171,0.518676,-1.0,1,0,0,0,0,0,0
2436135045,-0.0280982,-0.0268056,-0.0490722,0.0,0.999506,-0.0143719,-0.0130524,-0.0247172,0.518084,-1.0,1,0,0,0,0,0,0
