timestamp,heartbeat_time,telem_time,rxerrors,fixed,type,rssi,remote_rssi,noise,remote_noise,txbuf,system_id,component_id
401986273,401986273,393791220,23,3,1,143,129,24,20,95,51,68
403133027,403133027,393791220,23,3,1,143,129,24,20,95,51,68
404001037,404001037,393791220,23,3,1,143,129,24,20,95,51,68
404966126,404966126,393791220,23,3,1,143,129,24,20,95,51,68
406091028,406091028,393791220,23,3,1,143,129,24,20,95,51,68
406967043,406967043,393791220,23,3,1,143,129,24,20,95,51,68
407958164,407958164,393791220,23,3,1,143,129,24,20,95,51,68
409063145,409063145,393791220,23,3,1,143,129,24,20,95,51,68
409953027,409953027,393791220,23,3,1,143,129,24,20,95,51,68
411097307,411097307,393791220,23,3,1,143,129,24,20,95,51,68
412017466,412017466,393791220,23,3,1,143,129,24,20,95,51,68
413013328,413013328,393791220,23,3,1,143,129,24,20,95,51,68
414164012,414164012,393791220,23,3,1,143,129,24,20,95,51,68
415004009,415004009,393791220,23,3,1,143,129,24,20,95,51,68
416001896,416001896,393791220,23,3,1,143,129,24,20,95,51,68
417144055,417144055,393791220,23,3,1,143,129,24,20,95,51,68
417964030,417964030,393791220,23,3,1,143,129,24,20,95,51,68
418992042,418992042,393791220,23,3,1,143,129,24,20,95,51,68
420060208,420060208,393791220,23,3,1,143,129,24,20,95,51,68
421056187,421056187,393791220,23,3,1,143,129,24,20,95,51,68
421976184,421976184,393791220,23,3,1,143,129,24,20,95,51,68
423045044,423045044,393791220,23,3,1,143,129,24,20,95,51,68
423971064,423971064,393791220,23,3,1,143,129,24,20,95,51,68
424976007,424976007,393791220,23,3,1,143,129,24,20,95,51,68
426119020,426119020,393791220,23,3,1,143,129,24,20,95,51,68
427030919,427030919,393791220,23,3,1,143,129,24,20,95,51,68
427944209,427944209,393791220,23,3,1,143,129,24,20,95,51,68
429100021,429100021,393791220,23,3,1,143,129,24,20,95,51,68
430019220,430019220,393791220,23,3,1,143,129,24,20,95,51,68
431167710,431167710,393791220,23,3,1,143,129,24,20,95,51,68
432089022,432089022,393791220,23,3,1,143,129,24,20,95,51,68
432981086,432981086,393791220,23,3,1,143,129,24,20,95,51,68
434149120,434149120,393791220,23,3,1,143,129,24,20,95,51,68
