timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,vision_attitude_timestamp_rel,vision_position_timestamp_rel
2420550841,32767,32767,32767,32767,32767,32767,32767,32767
2420554843,32767,32767,32767,32767,32767,32767,32767,32767
2420558841,32767,32767,32767,32767,32767,32767,32767,32767
2420562841,32767,32767,32767,32767,32767,-87,32767,32767
2420566841,32767,32767,32767,32767,32767,32767,32767,32767
2420570841,32767,32767,32767,32767,32767,32767,32767,32767
2420574841,32767,32767,32767,32767,32767,32767,32767,32767
2420578841,32767,32767,32767,32767,32767,-87,32767,32767
2420582841,32767,32767,-47,32767,32767,32767,32767,32767
2420586841,32767,32767,32767,32767,32767,32767,32767,32767
2420590843,32767,32767,32767,32767,32767,32767,32767,32767
2420594841,32767,32767,32767,32767,32767,-88,32767,32767
2420598841,32767,32767,32767,32767,32767,32767,32767,32767
2420602842,32767,32767,32767,32767,32767,32767,32767,32767
2420606841,32767,32767,32767,32767,32767,32767,32767,32767
2420610841,32767,32767,32767,32767,32767,-88,32767,32767
2420614841,32767,32767,32767,32767,32767,32767,32767,32767
2420618841,32767,32767,32767,32767,32767,32767,32767,32767
2420622841,32767,32767,32767,32767,32767,32767,32767,32767
2420626841,32767,32767,32767,32767,32767,-87,32767,32767
2420630841,32767,32767,32767,32767,32767,32767,32767,32767
2420634841,32767,32767,32767,32767,32767,32767,32767,32767
2420638841,32767,32767,32767,32767,32767,32767,32767,32767
2420642841,32767,32767,32767,32767,32767,-88,32767,32767
2420646841,32767,32767,32767,32767,32767,32767,32767,32767
2420650842,32767,32767,32767,32767,32767,32767,32767,32767
2420654841,32767,32767,32767,32767,32767,32767,32767,32767
2420658841,32767,32767,32767,32767,32767,-89,32767,32767
2420662841,32767,32767,32767,32767,32767,32767,32767,32767
2420666842,32767,32767,32767,32767,32767,32767,32767,32767
2420670841,32767,32767,32767,32767,32767,32767,32767,32767
2420674840,32767,32767,32767,32767,32767,-89,32767,32767
2420678841,32767,32767,32767,32767,32767,32767,32767,32767
2420682841,32767,32767,32767,32767,32767,32767,32767,32767
2420686841,32767,32767,32767,32767,32767,32767,32767,32767
2420690841,32767,32767,32767,32767,-64,-88,32767,32767
2420694841,32767,32767,32767,32767,32767,32767,32767,32767
2420698841,32767,32767,32767,32767,32767,32767,32767,32767
2420702841,32767,32767,32767,32767,32767,32767,32767,32767
2420706841,32767,32767,32767,32767,32767,-88,32767,32767
2420710841,32767,32767,32767,32767,32767,32767,32767,32767
2420714842,32767,32767,32767,32767,32767,32767,32767,32767
2420718841,32767,32767,32767,32767,32767,32767,32767,32767
2420722841,32767,32767,32767,32767,32767,-88,32767,32767
2420726854,32767,32767,32767,32767,32767,32767,32767,32767
2420730841,32767,32767,32767,32767,32767,32767,32767,32767
2420734841,32767,32767,32767,32767,32767,32767,32767,32767
2420738841,32767,32767,32767,32767,32767,-88,32767,32767
2420742841,32767,32767,32767,32767,32767,32767,32767,32767
2420746841,32767,32767,32767,32767,32767,32767,32767,32767
2420750841,32767,32767,32767,32767,32767,-58,32767,32767
2420754841,32767,32767,32767,32767,32767,32767,32767,32767
2420758841,32767,32767,32767,32767,32767,32767,32767,32767
2420762841,32767,32767,32767,32767,32767,32767,32767,32767
2420766841,32767,32767,32767,32767,32767,-69,32767,32767
2420770841,32767,32767,32767,32767,32767,32767,32767,32767
2420774841,32767,32767,32767,32767,32767,32767,32767,32767
2420778841,32767,32767,32767,32767,32767,32767,32767,32767
2420782841,32767,32767,-48,32767,32767,-69,32767,32767
2420786841,32767,32767,32767,32767,32767,32767,32767,32767
2420790841,32767,32767,32767,32767,32767,32767,32767,32767
2420794841,32767,32767,32767,32767,32767,32767,32767,32767
2420798841,32767,32767,32767,32767,32767,-61,32767,32767
2420802841,32767,32767,32767,32767,32767,32767,32767,32767
2420806841,32767,32767,32767,32767,32767,32767,32767,32767
2420810841,32767,32767,32767,32767,32767,32767,32767,32767
2420814849,32767,32767,32767,32767,32767,-69,32767,32767
2420818841,32767,32767,32767,32767,32767,32767,32767,32767
2420822841,32767,32767,32767,32767,32767,32767,32767,32767
2420826841,32767,32767,32767,32767,32767,32767,32767,32767
2420830841,32767,32767,32767,32767,32767,-70,32767,32767
2420834841,32767,32767,32767,32767,32767,32767,32767,32767
2420838841,32767,32767,32767,32767,32767,32767,32767,32767
2420842841,32767,32767,32767,32767,32767,32767,32767,32767
2420846841,32767,32767,32767,32767,32767,-59,32767,32767
2420850841,32767,32767,32767,32767,32767,32767,32767,32767
2420854841,32767,32767,32767,32767,32767,32767,32767,32767
2420858841,32767,32767,32767,32767,32767,32767,32767,32767
2420862841,32767,32767,32767,32767,32767,-69,32767,32767
2420866841,32767,32767,32767,32767,32767,32767,32767,32767
2420870841,32767,32767,32767,32767,32767,32767,32767,32767
2420874841,32767,32767,32767,32767,32767,32767,32767,32767
2420878841,32767,32767,32767,32767,32767,-87,32767,32767
2420882841,32767,32767,32767,32767,32767,32767,32767,32767
2420886841,32767,32767,32767,32767,32767,32767,32767,32767
2420890841,32767,32767,32767,32767,32767,32767,32767,32767
2420894841,32767,32767,32767,32767,32767,-88,32767,32767
2420898841,32767,32767,32767,32767,32767,32767,32767,32767
2420902841,32767,32767,32767,32767,32767,32767,32767,32767
2420906841,32767,32767,32767,32767,32767,32767,32767,32767
2420910841,32767,32767,32767,32767,32767,-88,32767,32767
2420914841,32767,32767,32767,32767,32767,32767,32767,32767
2420918841,32767,32767,32767,32767,32767,32767,32767,32767
2420922841,32767,32767,32767,32767,32767,32767,32767,32767
2420926841,32767,32767,32767,32767,32767,-88,32767,32767
2420930840,32767,32767,32767,32767,32767,32767,32767,32767
2420934843,32767,32767,32767,32767,32767,32767,32767,32767
2420938841,32767,32767,32767,32767,32767,32767,32767,32767
2420942841,32767,32767,32767,32767,32767,-88,32767,32767
2420946841,32767,32767,32767,32767,32767,32767,32767,32767
2420950842,32767,32767,32767,32767,32767,32767,32767,32767
2420954841,32767,32767,32767,32767,32767,32767,32767,32767
2420958841,32767,32767,32767,32767,32767,-88,32767,32767
2420962841,32767,32767,32767,32767,32767,32767,32767,32767
2420966841,32767,32767,32767,32767,32767,32767,32767,32767
2420970841,32767,32767,32767,32767,32767,32767,32767,32767
2420974841,32767,32767,32767,32767,32767,-69,32767,32767
2420978841,32767,32767,32767,32767,32767,32767,32767,32767
2420982841,32767,32767,-57,32767,32767,32767,32767,32767
2420986841,32767,32767,32767,32767,32767,32767,32767,32767
2420990841,32767,32767,32767,32767,32767,-63,32767,32767
2420994841,32767,32767,32767,32767,32767,32767,32767,32767
2420998841,32767,32767,32767,32767,32767,32767,32767,32767
2421002841,32767,32767,32767,32767,32767,32767,32767,32767
2421006841,32767,32767,32767,32767,32767,-69,32767,32767
2421010841,32767,32767,32767,32767,32767,32767,32767,32767
2421014841,32767,32767,32767,32767,32767,32767,32767,32767
2421018841,32767,32767,32767,32767,32767,32767,32767,32767
2421022840,32767,32767,32767,32767,32767,-69,32767,32767
2421026841,32767,32767,32767,32767,32767,32767,32767,32767
2421030841,32767,32767,32767,32767,32767,32767,32767,32767
2421034841,32767,32767,32767,32767,32767,32767,32767,32767
2421038841,32767,32767,32767,32767,32767,-60,32767,32767
2421042841,32767,32767,32767,32767,32767,32767,32767,32767
2421046841,32767,32767,32767,32767,32767,32767,32767,32767
2421050841,32767,32767,32767,32767,32767,32767,32767,32767
2421054841,32767,32767,32767,32767,32767,-68,32767,32767
2421058841,32767,32767,32767,32767,32767,32767,32767,32767
2421062841,32767,32767,32767,32767,32767,32767,32767,32767
2421066841,32767,32767,32767,32767,32767,32767,32767,32767
2421070841,32767,32767,32767,32767,32767,-69,32767,32767
2421074841,32767,32767,32767,32767,32767,32767,32767,32767
2421078841,32767,32767,32767,32767,32767,32767,32767,32767
2421082841,32767,32767,32767,32767,32767,32767,32767,32767
2421086841,32767,32767,32767,32767,32767,-88,32767,32767
