timestamp,lat,lon,alt,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1762975463,40.8102151944,-77.8706524507,344.276,-0.0,-0.378907,-0.244807,0.00121432,-0.619769,4.16253,5.05758,0.0,2,0,0,0
1763179434,40.8102139825,-77.8706518252,344.267,-0.0,-0.422607,-0.184811,-0.20828,-0.632175,4.16421,5.05056,0.0,2,0,0,0
1763383192,40.8102123532,-77.870651429,344.314,-0.0,-0.436668,-0.16398,-0.404632,-0.640096,4.16715,5.05535,0.0,2,0,0,0
1763587353,40.810210504,-77.8706514225,344.386,-0.0,-0.376371,-0.225201,-0.590183,-0.643211,4.16906,5.0485,0.0,2,0,0,0
1763787183,40.8102089934,-77.8706521347,344.434,-0.0,-0.282522,-0.354797,-0.631655,-0.641768,4.17043,5.05294,0.0,2,0,0,0
1763991172,40.8102077317,-77.8706535415,344.525,-0.0,-0.210104,-0.470873,-0.57916,-0.640573,4.17337,5.05788,0.0,2,0,0,0
1764195414,40.8102066355,-77.8706547555,344.543,-0.0,-0.196792,-0.538076,-0.518156,-0.638931,4.17443,5.05078,0.0,2,0,0,0
1764399170,40.8102053819,-77.8706555098,344.574,-0.0,-0.222141,-0.527823,-0.361972,-0.636975,4.17763,5.05559,0.0,2,0,0,0
1764599189,40.810204013,-77.8706557384,344.585,-0.0,-0.287276,-0.478416,-0.0913019,-0.634158,4.1786,5.04869,0.0,2,0,0,0
1764799374,40.8102022483,-77.8706551875,344.549,-0.0,-0.36007,-0.396383,0.128872,-0.632414,4.17972,5.05313,0.0,2,0,0,0
1765003241,40.8102004042,-77.8706536652,344.511,-0.0,-0.419877,-0.309254,0.210471,-0.630265,4.17948,5.05782,0.0,2,0,0,0
1765207237,40.8101985885,-77.8706510598,344.466,-0.0,-0.49255,-0.189858,0.22169,-0.629399,4.17958,5.0508,0.0,2,0,0,0
1765411205,40.8101969215,-77.870648274,344.43,-0.0,-0.600011,-0.129508,0.185963,-0.628753,4.17871,5.0553,0.0,2,0,0,0
1765611259,40.8101957205,-77.8706455066,344.394,-0.0,-0.705596,-0.0835692,0.166029,-0.629491,4.17739,5.04834,0.0,2,0,0,0
1765815164,40.8101946785,-77.8706432417,344.319,-0.0,-0.833464,-0.0277432,0.241389,-0.632073,4.17649,5.05284,0.0,2,0,0,0
1766019160,40.8101934568,-77.8706414222,344.258,-0.0,-0.973666,0.0907544,0.25937,-0.633572,4.17528,5.05744,0.0,2,0,0,0
1766223229,40.8101919667,-77.8706415451,344.144,-0.0,-1.11237,0.129104,0.269507,-0.635849,4.17545,5.05054,0.0,2,0,0,0
1766423222,40.810190475,-77.8706423335,344.063,-0.0,-1.20093,0.0901375,0.204731,-0.636001,4.17626,5.05507,0.0,2,0,0,0
1766627211,40.810188554,-77.8706430802,344.031,-0.0,-1.31386,0.0113988,-0.0212498,-0.633849,4.17785,5.04824,0.0,2,0,0,0
1766831169,40.8101861159,-77.8706437443,344.036,-0.0,-1.4035,-0.0961766,-0.268591,-0.63118,4.18023,5.05283,0.0,2,0,0,0
1767035179,40.8101836079,-77.8706440744,344.115,-0.0,-1.50639,-0.212388,-0.461917,-0.629787,4.18127,5.05753,0.0,2,0,0,0
1767235397,40.8101811133,-77.8706446621,344.226,-0.0,-1.58366,-0.303045,-0.50973,-0.632054,4.1838,5.05052,0.0,2,0,0,0
1767439449,40.8101789418,-77.8706454565,344.338,-0.0,-1.68151,-0.318076,-0.472363,-0.635033,4.18731,5.05532,0.0,2,0,0,0
1767643196,40.8101768477,-77.8706462268,344.437,-0.0,-1.78641,-0.257298,-0.420672,-0.635059,4.18914,5.04849,0.0,2,0,0,0
1767847199,40.810175508,-77.8706470827,344.521,-0.0,-1.86463,-0.222001,-0.420214,-0.633504,4.19023,5.05309,0.0,2,0,0,0
1768047160,40.8101744182,-77.8706482033,344.623,-0.0,-1.91049,-0.271123,-0.423756,-0.63226,4.1916,5.05784,0.0,2,0,0,0
1768251212,40.8101733798,-77.870649393,344.679,-0.0,-1.9476,-0.344608,-0.381889,-0.632464,4.19339,5.05072,0.0,2,0,0,0
1768455254,40.8101728431,-77.8706500666,344.742,-0.0,-1.90958,-0.350785,-0.351505,-0.633293,4.19517,5.05551,0.0,2,0,0,0
