timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
129389670,-0.0314597,-0.0318929,-0.038107,0.988574,-0.00329581,0.0053157,0.150608,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129418473,0.00272111,-0.0142464,-0.000694208,0.988586,-0.00344627,0.00524958,0.150528,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129450473,-0.0198427,-0.0674262,-0.0445165,0.9886,-0.00350154,0.00494199,0.150441,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129482471,0.104973,0.0128875,-0.00540463,0.988578,-0.00329802,0.00408034,0.150619,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129515277,-0.0553849,-0.0589015,0.0594493,0.988536,-0.00343807,0.00288675,0.15092,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129547271,-0.104142,-0.0156933,0.0441528,0.988494,-0.00366265,0.00226762,0.151202,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129575299,0.00712972,-0.0125918,0.0790095,0.988443,-0.00356129,0.00219578,0.151537,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129608074,-0.0980624,0.0703202,0.0186054,0.988396,-0.00369264,0.00281993,0.151828,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129640072,0.0624952,-0.00492946,-0.0462546,0.988382,-0.0036756,0.00370311,0.151901,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129672073,0.0849958,0.096124,0.10225,0.988351,-0.00340501,0.00454945,0.152084,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129704870,-0.10753,0.0066611,-0.00442135,0.988344,-0.00338395,0.00494317,0.152119,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129736872,-0.037227,-0.0083157,0.0793174,0.988319,-0.00345259,0.00483791,0.152285,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129768879,0.0609444,-0.0416253,-0.0409724,0.988319,-0.00339593,0.00445284,0.152296,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129801670,0.0231654,-0.00450477,-0.036581,0.988334,-0.00330637,0.00386943,0.152218,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129833687,-0.00519681,0.0442231,0.024206,0.988281,-0.00300367,0.00349122,0.152574,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129865663,0.0315577,0.0062661,0.0668526,0.988228,-0.00284116,0.00340684,0.152923,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129894478,-0.0587541,-0.043961,0.0345934,0.988182,-0.00312077,0.00345566,0.153211,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129926476,-0.0156973,-0.0473017,0.0627853,0.98811,-0.00318623,0.00365692,0.153675,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
129958463,0.0770338,-0.028719,-0.0729902,0.98813,-0.00296806,0.00378868,0.153543,0.999999,-4.5808e-05,4.85593e-05,-0.00162717,2
