timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
812885807,812885671,0.0996577,0.0426392,-0.000904643,0.230765,0.0,0.0,0.0,-1.0
812986627,812986497,0.10785,0.0383008,-0.00424808,0.230765,0.0,0.0,0.0,-1.0
813087420,813087286,0.114245,0.0388714,-0.00293103,0.231005,0.0,0.0,0.0,-1.0
813188217,813188064,0.109276,0.0437576,-0.00606216,0.232339,0.0,0.0,0.0,-1.0
813292997,813292870,0.106816,0.0499904,-0.00677731,0.236045,0.0,0.0,0.0,-1.0
813393801,813393670,0.102279,0.0440505,-0.00418473,0.234084,0.0,0.0,0.0,-1.0
813494605,813494475,0.0941839,0.0524092,-0.00224265,0.234435,0.0,0.0,0.0,-1.0
813595402,813595273,0.0975094,0.0309749,-0.00639353,0.234244,0.0,0.0,0.0,-1.0
813696222,813696086,0.111618,0.0424449,-0.00776612,0.238286,0.0,0.0,0.0,-1.0
813801005,813800877,0.105343,0.0447004,-0.0108772,0.23771,0.0,0.0,0.0,-1.0
813901826,813901702,0.108922,0.0473601,-0.00770302,0.237728,0.0,0.0,0.0,-1.0
814002612,814002477,0.109961,0.0521807,-0.00371713,0.237728,0.0,0.0,0.0,-1.0
814103402,814103271,0.106884,0.0381112,-0.00180551,0.237728,0.0,0.0,0.0,-1.0
814204215,814204078,0.116876,0.0404704,-0.00565825,0.266819,0.0,0.0,0.0,-1.0
814305014,814304884,0.117922,0.0376758,-0.0160476,0.271391,0.0,0.0,0.0,-1.0
814409808,814409670,0.09395,0.0346574,-0.00998393,0.270231,0.0,0.0,0.0,-1.0
814510614,814510476,0.1059,0.0433117,-0.0177305,0.269983,0.0,0.0,0.0,-1.0
814611411,814611280,0.0917393,0.0350111,-0.0140129,0.26791,0.0,0.0,0.0,-1.0
814712201,814712070,0.111434,0.0402278,-0.0193066,0.270322,0.0,0.0,0.0,-1.0
814813000,814812872,0.110977,0.0443279,-0.014682,0.271472,0.0,0.0,0.0,-1.0
814913808,814913681,0.123744,0.0359214,-0.0236915,0.271383,0.0,0.0,0.0,-1.0
815018599,815018471,0.0947571,0.0357778,-0.0210486,0.273841,0.0,0.0,0.0,-1.0
815119398,815119271,0.108618,0.0453993,-0.0261208,0.273704,0.0,0.0,0.0,-1.0
815219392,815219263,0.100437,0.0254075,-0.0284362,0.274855,0.0,0.0,0.0,-1.0
815320225,815320090,0.119578,0.0377589,-0.0209701,0.276393,0.0,0.0,0.0,-1.0
815421010,815420874,0.106811,0.0309113,-0.033426,0.291269,0.0,0.0,0.0,-1.0
815526638,815526494,0.111809,0.0310583,-0.0298052,0.308451,0.0,0.0,0.0,-1.0
815627392,815627264,0.0902838,0.0212167,-0.0305144,0.308519,0.0,0.0,0.0,-1.0
815727397,815727270,0.0984012,0.0256246,-0.033776,0.308519,0.0,0.0,0.0,-1.0
815828998,815828871,0.0972112,0.0290711,-0.0327723,0.308519,0.0,0.0,0.0,-1.0
815928999,815928869,0.100996,0.0243097,-0.0336236,0.308519,0.0,0.0,0.0,-1.0
816033801,816033671,0.0981726,0.0218476,-0.0415057,0.308519,0.0,0.0,0.0,-1.0
816134626,816134498,0.10807,0.0234713,-0.0506738,0.308519,0.0,0.0,0.0,-1.0
816235390,816235263,0.0924283,0.0195041,-0.0494929,0.308758,0.0,0.0,0.0,-1.0
816336201,816336070,0.115255,0.0203928,-0.0512164,0.31107,0.0,0.0,0.0,-1.0
816437011,816436873,0.102984,0.0168411,-0.0463608,0.331475,0.0,0.0,0.0,-1.0
816537805,816537677,0.0926255,0.0129297,-0.0441123,0.35141,0.0,0.0,0.0,-1.0
816638594,816638464,0.0794144,0.0300559,-0.0528134,0.350246,0.0,0.0,0.0,-1.0
816743391,816743260,0.0561884,0.00370103,-0.0488174,0.346971,0.0,0.0,0.0,-1.0
816844222,816844072,0.0807448,0.0151729,-0.0513049,0.346815,0.0,0.0,0.0,-1.0
816944992,816944863,0.0845616,0.0180489,-0.0631767,0.346815,0.0,0.0,0.0,-1.0
817045819,817045673,0.0624597,0.00550716,-0.0557188,0.348505,0.0,0.0,0.0,-1.0
817150609,817150470,0.067017,0.0104063,-0.0592553,0.353753,0.0,0.0,0.0,-1.0
817251402,817251276,0.0870661,0.0113714,-0.0568724,0.353778,0.0,0.0,0.0,-1.0
817352212,817352071,0.0853419,-0.0001667,-0.0758427,0.360389,0.0,0.0,0.0,-1.0
817453007,817452872,0.0575396,0.0148659,-0.0798878,0.385094,0.0,0.0,0.0,-1.0
817553806,817553673,0.0426565,0.0181205,-0.0833592,0.381939,0.0,0.0,0.0,-1.0
817654603,817654462,0.0335686,0.00670502,-0.0808794,0.38163,0.0,0.0,0.0,-1.0
817759400,817759271,0.0259476,0.00038991,-0.0891557,0.38163,0.0,0.0,0.0,-1.0
817860205,817860073,0.0258299,0.000186416,-0.081547,0.38163,0.0,0.0,0.0,-1.0
817961008,817960877,0.0320065,0.0127749,-0.0853187,0.38163,0.0,0.0,0.0,-1.0
818061797,818061670,-0.00031016,0.0166205,-0.0901346,0.38163,0.0,0.0,0.0,-1.0
818162621,818162479,0.0133427,0.010346,-0.0851592,0.38163,0.0,0.0,0.0,-1.0
818263402,818263271,0.0179006,0.00448651,-0.0838511,0.38163,0.0,0.0,0.0,-1.0
818368195,818368064,0.0112348,-0.0215358,-0.0771307,0.38163,0.0,0.0,0.0,-1.0
818468997,818468871,0.0144413,0.0103935,-0.0875377,0.38163,0.0,0.0,0.0,-1.0
818569804,818569671,0.0208538,0.0215171,-0.0836007,0.38163,0.0,0.0,0.0,-1.0
818670610,818670476,0.0189348,0.0225776,-0.0791652,0.38163,0.0,0.0,0.0,-1.0
818771404,818771273,0.0291171,-0.00173426,-0.0768885,0.38163,0.0,0.0,0.0,-1.0
818872208,818872072,0.00499141,-0.00466302,-0.0824598,0.38163,0.0,0.0,0.0,-1.0
818977004,818976876,0.0177232,0.0156102,-0.07869,0.38163,0.0,0.0,0.0,-1.0
819077800,819077670,-0.0170647,0.01298,-0.0761585,0.38163,0.0,0.0,0.0,-1.0
819178604,819178472,0.0071116,-0.0102408,-0.0681952,0.38163,0.0,0.0,0.0,-1.0
819279402,819279275,0.00876609,0.0144945,-0.064425,0.38163,0.0,0.0,0.0,-1.0
819380230,819380094,0.010675,-0.00281801,-0.0582201,0.38163,0.0,0.0,0.0,-1.0
819485011,819484873,-0.0192231,-0.00897326,-0.0623093,0.38163,0.0,0.0,0.0,-1.0
819585795,819585670,0.00756109,-0.00135344,-0.0615383,0.38163,0.0,0.0,0.0,-1.0
819686612,819686486,-0.00684736,0.0205446,-0.0718501,0.38163,0.0,0.0,0.0,-1.0
819787397,819787270,0.0060444,0.0161844,-0.0591489,0.384051,0.0,0.0,0.0,-1.0
819888204,819888072,-0.0013311,0.00526971,-0.0648692,0.38476,0.0,0.0,0.0,-1.0
819989003,819988874,-0.00153345,-0.00543257,-0.0650064,0.38713,0.0,0.0,0.0,-1.0
820093790,820093663,0.000398256,-0.000450629,-0.0673714,0.406811,0.0,0.0,0.0,-1.0
820194604,820194472,-0.00175423,0.00378665,-0.0598238,0.426891,0.0,0.0,0.0,-1.0
820295396,820295270,-0.0199427,-0.000571728,-0.0640728,0.426894,0.0,0.0,0.0,-1.0
820396227,820396077,0.00760796,0.0140149,-0.0563074,0.426889,0.0,0.0,0.0,-1.0
820497001,820496872,0.0209542,0.0271749,-0.0588506,0.425273,0.0,0.0,0.0,-1.0
820597799,820597670,0.0187525,0.00939131,-0.0650053,0.42457,0.0,0.0,0.0,-1.0
820702608,820702479,0.0235847,0.0142148,-0.0604669,0.424328,0.0,0.0,0.0,-1.0
820803399,820803272,-0.00463415,0.00432492,-0.0632248,0.423409,0.0,0.0,0.0,-1.0
820904200,820904070,0.00519275,-0.0225232,-0.0587137,0.423407,0.0,0.0,0.0,-1.0
821005010,821004874,-0.00183971,-0.0305861,-0.0578659,0.423407,0.0,0.0,0.0,-1.0
821105799,821105664,-0.0194784,-0.0100922,-0.0633635,0.423407,0.0,0.0,0.0,-1.0
821210611,821210471,-0.0120366,0.00265862,-0.0660992,0.423407,0.0,0.0,0.0,-1.0
821311408,821311272,-0.000742052,-0.00511645,-0.0638443,0.423407,0.0,0.0,0.0,-1.0
821412209,821412075,0.0187162,-0.0168797,-0.0567929,0.423407,0.0,0.0,0.0,-1.0
821513013,821512872,0.00878745,0.00158183,-0.0661577,0.423407,0.0,0.0,0.0,-1.0
821613802,821613673,0.00945774,0.00745226,-0.0640657,0.423407,0.0,0.0,0.0,-1.0
821714609,821714471,0.0116847,-0.00372086,-0.0593288,0.423407,0.0,0.0,0.0,-1.0
821819389,821819263,0.0033396,-0.0133696,-0.0641098,0.423407,0.0,0.0,0.0,-1.0
821920206,821920073,-0.00306992,0.00103571,-0.0653728,0.423407,0.0,0.0,0.0,-1.0
822021012,822020872,0.00615104,0.000636715,-0.0606184,0.423407,0.0,0.0,0.0,-1.0
822121809,822121678,0.0081733,0.00429939,-0.0672964,0.423407,0.0,0.0,0.0,-1.0
822222603,822222473,0.0147769,0.0112161,-0.0698431,0.423407,0.0,0.0,0.0,-1.0
822323400,822323272,0.0152005,-0.00346139,-0.0610684,0.423407,0.0,0.0,0.0,-1.0
822428209,822428077,0.000758066,-0.0116341,-0.0635645,0.423407,0.0,0.0,0.0,-1.0
822529001,822528873,-0.0114,0.0140903,-0.0709051,0.423407,0.0,0.0,0.0,-1.0
822629813,822629670,-0.0160021,0.00485845,-0.0637649,0.423407,0.0,0.0,0.0,-1.0
822730602,822730472,-0.00204958,-0.00864152,-0.0581489,0.423407,0.0,0.0,0.0,-1.0
822831406,822831272,0.00945916,0.000313236,-0.0649698,0.423407,0.0,0.0,0.0,-1.0
822932204,822932072,0.0207332,-0.00377835,-0.0638846,0.423407,0.0,0.0,0.0,-1.0
823036997,823036870,0.0235073,-0.00191389,-0.0633229,0.423407,0.0,0.0,0.0,-1.0
823137789,823137658,0.00475477,-0.0158416,-0.0635502,0.423407,0.0,0.0,0.0,-1.0
823238603,823238471,0.00173467,0.00200568,-0.0679267,0.423407,0.0,0.0,0.0,-1.0
823339400,823339272,0.00655381,0.0168229,-0.0622341,0.423407,0.0,0.0,0.0,-1.0
823440226,823440090,0.00758355,0.0298998,-0.0654883,0.423407,0.0,0.0,0.0,-1.0
823545001,823544870,-0.0020007,0.00569432,-0.0636408,0.423407,0.0,0.0,0.0,-1.0
823645799,823645671,0.0122346,-0.00817642,-0.0515351,0.423407,0.0,0.0,0.0,-1.0
823746608,823746471,-0.0123488,-0.0108379,-0.0622623,0.423407,0.0,0.0,0.0,-1.0
823847393,823847264,-0.00786523,-0.00140909,-0.059987,0.423407,0.0,0.0,0.0,-1.0
823948203,823948071,0.00766546,0.00440741,-0.0545023,0.423407,0.0,0.0,0.0,-1.0
824048230,824048075,0.00559146,0.0186601,-0.0638746,0.423407,0.0,0.0,0.0,-1.0
824153790,824153663,-0.0022806,0.00584523,-0.065062,0.423407,0.0,0.0,0.0,-1.0
824254623,824254486,0.00340367,-0.0236371,-0.0583573,0.423407,0.0,0.0,0.0,-1.0
824355397,824355270,0.00148537,-0.0171624,-0.0614734,0.423407,0.0,0.0,0.0,-1.0
824455395,824455264,0.00303,0.00763208,-0.0623985,0.423407,0.0,0.0,0.0,-1.0
824556204,824556073,0.00724945,0.00293347,-0.0545293,0.423407,0.0,0.0,0.0,-1.0
824657003,824656872,0.00136885,0.00104087,-0.0598937,0.423407,0.0,0.0,0.0,-1.0
824761815,824761689,-0.000826526,0.00110031,-0.0588643,0.423407,0.0,0.0,0.0,-1.0
824862606,824862471,-0.00591385,-0.0317164,-0.0544891,0.423407,0.0,0.0,0.0,-1.0
824963399,824963271,0.000450907,-0.025386,-0.0584098,0.423407,0.0,0.0,0.0,-1.0
825064227,825064090,0.018286,0.00289762,-0.0613614,0.423407,0.0,0.0,0.0,-1.0
825169030,825168902,0.0265239,-0.00206766,-0.0594324,0.423407,0.0,0.0,0.0,-1.0
825269792,825269671,-0.00591881,-0.00606642,-0.0664206,0.423407,0.0,0.0,0.0,-1.0
825370606,825370483,0.0129284,-0.0101222,-0.0566321,0.423407,0.0,0.0,0.0,-1.0
825471419,825471272,0.0121501,-0.0163917,-0.0561753,0.423407,0.0,0.0,0.0,-1.0
825572213,825572073,-0.00520877,0.000786949,-0.0666135,0.423407,0.0,0.0,0.0,-1.0
825673002,825672873,0.00716454,0.00157629,-0.0557184,0.423407,0.0,0.0,0.0,-1.0
825777804,825777675,0.00882674,-0.011959,-0.0578766,0.423407,0.0,0.0,0.0,-1.0
825878608,825878483,0.000326541,-0.0119605,-0.0615201,0.423407,0.0,0.0,0.0,-1.0
825979402,825979273,0.00718892,-0.0201314,-0.0538821,0.423407,0.0,0.0,0.0,-1.0
826080214,826080064,-0.00720426,-0.0113705,-0.060777,0.423407,0.0,0.0,0.0,-1.0
826181001,826180873,-0.00891127,-0.0098758,-0.0602732,0.423407,0.0,0.0,0.0,-1.0
826281808,826281675,0.00970278,-0.0047353,-0.0539328,0.423407,0.0,0.0,0.0,-1.0
826386592,826386458,-0.00220955,-0.0113372,-0.0558258,0.423407,0.0,0.0,0.0,-1.0
826487402,826487271,0.00317678,-0.0106208,-0.0619928,0.423407,0.0,0.0,0.0,-1.0
826588205,826588072,0.0236315,-0.00661932,-0.0553812,0.423407,0.0,0.0,0.0,-1.0
826689008,826688879,0.0108819,-0.00901829,-0.0629921,0.423407,0.0,0.0,0.0,-1.0
826789778,826789659,0.00278036,0.0137096,-0.0610017,0.423407,0.0,0.0,0.0,-1.0
826894608,826894471,0.00543994,0.00197105,-0.0561221,0.423407,0.0,0.0,0.0,-1.0
826995383,826995257,0.00353287,-0.00334857,-0.0611978,0.423407,0.0,0.0,0.0,-1.0
827096199,827096065,0.0130244,-0.00839559,-0.0538156,0.423407,0.0,0.0,0.0,-1.0
827197001,827196870,0.00494246,-0.014575,-0.0582665,0.423407,0.0,0.0,0.0,-1.0
827297812,827297672,-0.00853494,-0.00490687,-0.0652362,0.423407,0.0,0.0,0.0,-1.0
827398609,827398464,-0.00524174,-0.00295821,-0.0577526,0.423407,0.0,0.0,0.0,-1.0
827503408,827503276,-0.00382003,-0.0206863,-0.0578283,0.423407,0.0,0.0,0.0,-1.0
827604204,827604072,0.0152827,-0.0104976,-0.0581367,0.423407,0.0,0.0,0.0,-1.0
827704992,827704864,0.0150383,0.0230046,-0.0660086,0.423407,0.0,0.0,0.0,-1.0
827805799,827805671,0.0135818,0.00401563,-0.0568633,0.423407,0.0,0.0,0.0,-1.0
827906612,827906473,-0.00170414,-0.00578027,-0.0672547,0.423407,0.0,0.0,0.0,-1.0
828007408,828007278,0.0149171,-0.00670072,-0.0624657,0.423407,0.0,0.0,0.0,-1.0
828112231,828112073,0.0262414,0.00282295,-0.0607366,0.423407,0.0,0.0,0.0,-1.0
828213006,828212876,3.23942e-06,-0.00364095,-0.0685843,0.423407,0.0,0.0,0.0,-1.0
828313808,828313676,0.00137193,0.00508496,-0.0676106,0.423407,0.0,0.0,0.0,-1.0
828414596,828414463,-0.000431496,-0.00424559,-0.0620042,0.423407,0.0,0.0,0.0,-1.0
828515400,828515272,0.0115384,0.0057644,-0.0637631,0.423407,0.0,0.0,0.0,-1.0
828616208,828616072,0.0310218,0.0073571,-0.0577459,0.423407,0.0,0.0,0.0,-1.0
828720993,828720863,0.01826,-0.0104275,-0.0572237,0.423407,0.0,0.0,0.0,-1.0
828821834,828821703,-0.00744821,-0.00440069,-0.0606382,0.423407,0.0,0.0,0.0,-1.0
828922616,828922475,0.00911621,-0.00509392,-0.0551481,0.423407,0.0,0.0,0.0,-1.0
829023402,829023275,0.000954053,0.01197,-0.0572774,0.423407,0.0,0.0,0.0,-1.0
829124209,829124074,0.00226104,0.00890366,-0.059922,0.423407,0.0,0.0,0.0,-1.0
829229001,829228870,0.0205791,-0.0103938,-0.0550407,0.423407,0.0,0.0,0.0,-1.0
829329824,829329692,0.0039617,-0.0014966,-0.0609945,0.423407,0.0,0.0,0.0,-1.0
829430596,829430463,0.00525782,0.00888485,-0.0625477,0.423407,0.0,0.0,0.0,-1.0
829531398,829531270,0.000768527,-0.000995255,-0.0544263,0.423407,0.0,0.0,0.0,-1.0
829632211,829632078,-0.0140502,0.0114326,-0.0632303,0.423407,0.0,0.0,0.0,-1.0
829733008,829732876,0.013334,0.0134408,-0.0537236,0.423407,0.0,0.0,0.0,-1.0
829837800,829837669,0.0130091,0.0124072,-0.0529583,0.423407,0.0,0.0,0.0,-1.0
